,dataset,sequence,delentropy,blur,brightness distance,t1,t2,t3,r1,r2,r3
0,aqualoc,2,0.004117041765577278,,,-0.10075769357783004,0.028408461497622058,0.017747318895690766,-0.0013548136171938078,-0.0020725687918497233,0.0002280791173978454
1,aqualoc,1,0.007349005070924352,,,0.02348214328499769,-0.013859414498143634,0.013894662374188294,0.05930609241361047,0.016881625508087982,0.008673039122137035
2,aqualoc,1,0.007070313061859333,,,0.038077523221275854,0.013412912879428623,-0.0022758177314030985,0.036760629220035146,-0.004600377083767238,0.0013360278446564473
3,aqualoc,1,0.0046796455564162105,,,-0.02046687179649118,-0.005949312895067621,-0.0013787486787665202,0.00924723016844693,-0.001962289329665451,-0.0007343143471030849
4,aqualoc,1,0.008484571737896148,,,-0.0003109976833146852,0.0007167575227265036,0.00018731725429125791,0.0014810106931541181,0.0031789383544361823,0.0004575111316887399
5,aqualoc,1,0.004589459678807278,,,0.038911816649791826,0.016693102688032528,-0.0014468040412645398,0.003589660115154228,0.03457372358967976,0.014159506851766179
6,aqualoc,1,0.003117839479793486,,,-0.010219158820125033,0.01499086851168799,-0.0020487876863670624,-0.003667274859452137,-0.009128226757086895,0.004434810117287688
7,aqualoc,1,0.004391477721361904,,,0.030360578928157574,-0.0049195935774640044,0.004974870962513573,0.05023938373359461,0.012104462507579614,-0.004679902357004473
8,aqualoc,2,0.01576050219994496,,,-0.0995151541886717,-0.0588742354408832,-0.015128192614346368,0.010081195980756337,-0.008356374886828808,-0.0008071926587855185
9,aqualoc,1,0.0048605073443016575,,,-0.011091129137115558,0.008874706365983103,0.002154172177216527,-0.009493565636025388,0.01875131785707036,-0.0014647964341332697
10,aqualoc,3,0.004149335096238367,,,-0.0005037811166500311,0.004606827760225714,-0.000865963971279317,-0.024871834800862306,0.00838431636189289,0.001296420642795344
11,aqualoc,1,0.0044569918765123015,,,0.00395244041523196,-0.0037239747695611163,-0.00280699528843207,0.008525499686357529,-0.000409007891806784,0.010655743803103168
12,aqualoc,1,0.008336688405520536,,,0.004220931139276262,0.0014427518073078097,-0.006015859950685855,0.004373037322396111,-0.00990724867615846,-0.004708558577905333
13,aqualoc,1,0.006609646754302773,,,0.029601225572722434,0.020929533106277882,0.001676837058534658,-0.00900392490424332,0.0034529294469648267,0.009584010948740031
14,aqualoc,1,0.007657350811456911,,,0.00552085693058594,0.0009458830629486302,-0.0032065614635028096,0.006114924172931796,-0.00723125758748208,-0.0030303594600839365
15,aqualoc,1,0.005981875148582636,,,-0.002052690627658334,0.0002717882476330797,-0.001456927765414787,0.0035582150721871677,-0.00995579237520971,-0.004076858345131206
